Greenhous Gas Concentrations and Forcing
   Age     CO2       CH4       Fghgs
 122.0    273.52    608.18     0.067
 122.2    272.70    607.65     0.047
 122.4    272.48    605.92     0.040
 122.6    273.62    601.22     0.062
 122.8    274.80    606.16     0.095
 123.0    275.96    606.99     0.123
 123.2    275.52    609.30     0.115
 123.4    274.18    614.57     0.090
 123.6    272.83    615.41     0.059
 123.8    271.48    612.02     0.023
 124.0    270.13    614.24    -0.006
 124.2    268.22    620.53    -0.044
 124.4    266.52    622.92    -0.083
 124.6    266.41    629.55    -0.078
 124.8    267.72    628.94    -0.047
 125.0    275.90    638.94     0.157
 125.2    275.52    642.40     0.152
 125.4    275.99    646.16     0.167
 125.6    276.48    653.76     0.187
 125.8    275.74    657.12     0.173
 126.0    274.99    652.88     0.151
 126.2    274.25    656.21     0.138
 126.4    272.19    647.80     0.080
 126.6    267.32    646.49    -0.037
 126.8    263.88    650.59    -0.116
 127.0    262.55    648.57    -0.150
 127.2    264.43    665.73    -0.086
 127.4    269.55    676.09     0.048
 127.6    274.35    680.56     0.166
 127.8    275.49    694.28     0.207
 128.0    275.26    709.36     0.218
 128.2    274.53    708.95     0.200
 128.4    283.27    717.99     0.412
 128.6    286.50    708.83     0.475
 128.8    283.54    611.19     0.302
 129.0    273.75    536.22    -0.012
 129.2    264.23    545.15    -0.228
 129.4    262.29    550.12    -0.269
 129.6    259.00    534.27    -0.369
 129.8    258.36    517.23    -0.405
 130.0    256.68    511.39    -0.454
 130.2    254.92    503.26    -0.508
 130.4    253.16    517.22    -0.535
 130.6    251.40    517.48    -0.579
 130.8    249.65    497.16    -0.649
 131.0    247.89    490.21    -0.703
 131.2    246.13    493.39    -0.744
 131.4    242.32    491.05    -0.846
 131.6    234.30    480.11    -1.074
 131.8    228.46    464.60    -1.253
 132.0    226.98    457.53    -1.304
 132.2    225.56    460.82    -1.339
 132.4    224.15    461.54    -1.377
 132.6    223.57    461.45    -1.394
 132.8    223.71    460.61    -1.391
 133.0    223.61    456.39    -1.399
 133.2    217.45    451.79    -1.581
 133.4    211.79    474.20    -1.718
 133.6    210.18    497.27    -1.736
 133.8    209.69    465.61    -1.792
 134.0    209.20    431.90    -1.851
 134.2    206.43    432.21    -1.934
 134.4    203.83    434.30    -2.011
 134.6    204.07    425.43    -2.015
 134.8    204.31    415.82    -2.021
 135.0    203.18    410.52    -2.063
 135.2    198.74    405.93    -2.208
 135.4    198.00    399.27    -2.241
 135.6    198.31    390.45    -2.243
 135.8    200.59    383.79    -2.181
 136.0    201.08    390.91    -2.156
 136.2    201.87    400.45    -2.118
 136.4    199.29    404.88    -2.192
 136.6    198.35    390.97    -2.241
 136.8    199.55    377.77    -2.223
 137.0    197.42    380.32    -2.286
 137.2    195.29    385.79    -2.346
 137.4    194.02    391.26    -2.379
 137.6    193.54    394.69    -2.389
 137.8    193.78    395.15    -2.381
 138.0    193.48    397.99    -2.386
 138.2    190.62    401.39    -2.474
 138.4    190.62    404.15    -2.471
 138.6    191.00    392.10    -2.475
 138.8    191.39    374.39    -2.488
 139.0    191.77    383.42    -2.463
 139.2    192.17    407.57    -2.415
 139.4    193.84    426.03    -2.336
 139.6    196.07    406.64    -2.291
 139.8    196.37    380.27    -2.319
 140.0    196.23    358.21    -2.356
 140.2    196.09    351.30    -2.371
 140.4    195.95    345.70    -2.384
 140.6    195.81    343.42    -2.392
 140.8    195.67    345.80    -2.393
 141.0    196.01    348.21    -2.378
 141.2    195.09    351.39    -2.403
 141.4    194.00    355.03    -2.432
 141.6    192.90    358.65    -2.462
 141.8    191.81    362.02    -2.493
 142.0    190.75    365.34    -2.522
 142.2    190.68    368.44    -2.520
 142.4    191.07    370.86    -2.504
 142.6    191.47    373.23    -2.487
 142.8    191.86    376.00    -2.470
 143.0    192.25    380.36    -2.451
 143.2    192.65    384.98    -2.432
 143.4    193.04    390.34    -2.411
 143.6    193.43    395.85    -2.391
 143.8    193.83    400.63    -2.372
 144.0    194.22    401.15    -2.358
 144.2    194.61    400.97    -2.346
 144.4    195.01    396.17    -2.340
 144.6    195.40    386.56    -2.341
 144.8    195.79    377.78    -2.341
 145.0    196.19    379.91    -2.326
 145.2    196.58    385.42    -2.305
 145.4    196.96    390.69    -2.286
 145.6    197.32    394.54    -2.269
 145.8    197.67    398.16    -2.253
 146.0    198.02    401.79    -2.236
 146.2    198.37    405.48    -2.220
 146.4    198.73    409.19    -2.204
 146.6    199.08    412.85    -2.188
 146.8    199.43    416.49    -2.172
 147.0    199.78    420.04    -2.156
 147.2    200.13    421.79    -2.142
 147.4    200.48    422.83    -2.130
 147.6    200.84    431.58    -2.107
 147.8    201.19    449.58    -2.072
 148.0    201.54    465.77    -2.040
 148.2    201.89    457.69    -2.039
 148.4    202.24    442.04    -2.049
